Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
CAT,Scrypt,PoW,7219956.64626131,21000000 ,-0.16831526136012098,-1.1205902790516202,-0.0351999900985409,Catcoin,3.0
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000,-0.3359527213449888,1.0354502242898744,-0.6264651417632018,CryptoBullion,0.0
CCN,Scrypt,PoW,4703879.51824446,13140000,-0.16840180317066109,-1.1205868285790241,-0.03519842933210932,CannaCoin,3.0
CIN,Multiple,PoW/PoS,0.0,114000000,,,,,
CINNI,Scrypt,PoW,,15000000,,,,,
CLR,SHA-256,PoW,,27200000,,,,,
CMC,Scrypt,PoW/PoS,,100000000,,,,,
CNC,Scrypt,PoW,,462500000,,,,,
CNL,X11,PoW,,8500000,,,,,
COMM,Scrypt,PoW/PoS,,1000000000,,,,,
COOL,Scrypt,PoS,0.0,100000000,,,,,
CRACK,X11,PoW,,6000000,,,,,
CRYPT,X11,PoW,4996986.20575291,18000000,-0.2332527588852974,-0.9306328009920312,0.06975823613592466,CryptCoin,3.0
CSC,Scrypt,PoC,39999997299.8568,40000000000,0.6753500848950021,0.2600376443347938,-0.4051653067910466,CasinoCoin,0.0
DEM,SHA-256,PoW/PoS,0.0,0,,,,,
DMD,Groestl,PoW/PoS,3304487.74735637,4380000,-0.37082751037528133,1.01302220002233,-0.5079954044564409,Diamond,0.0
XVG,Multiple,PoW,15929530669.1206,16555000000,0.18843661743031276,-1.8143900263474868,0.3422795708631749,Verge,3.0
DRKC,X11,PoW/PoS,0.0,3720000,,,,,
DSB,Scrypt,PoW,0.0,2043962,,,,,
DVC,SHA-256,PoW,18773857500.0,21000000000,0.2312652297424758,-1.2947274527846508,0.1861188588533662,DevCoin,3.0
EAC,Scrypt,PoW,12539015186.822,13500000000,0.08054062905148252,-1.1238030359422195,-0.0406447159012106,EarthCoin,3.0
EFL,Scrypt,PoW,20910478.8062499,21000000 ,-0.16814790533232785,-1.1205857731839126,-0.03520460223395799,E-Gulden,3.0
ELC,Scrypt,PoW,0.0,75000000,,,,,
EMC2,Scrypt,PoW,218871896.499999,299792458,-0.16374930881491143,-1.1206723794935312,-0.03529658733610975,Einsteinium,3.0
EMD,Scrypt,PoW,19496786.31025,32000000,-0.16808711641363233,-1.1205922262859809,-0.035205124010754305,Emerald,3.0
EXCL,PoS,PoS,5679705.0,0,-0.34260331766277813,1.577597457808153,0.08680121902046017,Exclusive Coin,0.0
EXE,Scrypt,PoW,,21000000 ,,,,,
EZC,Scrypt,PoW,,84000000,,,,,
FLAP,Scrypt,PoW,0.0,100000000000,,,,,
FC2,X11,PoS,0.0,100000000,,,,,
FFC,SHA-256,PoW,,700000000000,,,,,
FIBRE,NIST5,PoW/PoS,0.0,624000,,,,,
FRC,SHA-256,PoW,0.0,2602410,,,,,
